113.287513	2.428711	83.898305
131.295392	2.428865	80.508475
149.302367	2.428921	81.355932
167.289379	2.428867	77.118644
185.298091	2.428901	73.728814
203.305971	2.428949	72.033898
329.341998	2.428814	81.355932
347.348846	2.428829	79.661017
365.355724	2.428819	73.728814
545.409425	2.428813	84.745763
563.416297	2.428816	79.661017
581.423192	2.428835	55.084746
653.434756	2.428950	73.728814
671.443531	2.428915	76.271186
689.450390	2.428832	77.966102
815.487570	2.428834	77.118644
833.496380	2.428868	79.661017
851.504208	2.428817	77.118644
